peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Dashboarding-focused products,Recommendation,7,Longview Analytics,Customer satisfaction,6.815537824,5.954168605,15,,2,
Dashboarding-focused products,Recommendation,7,MS Power BI,Customer satisfaction,6.815537824,6.953736298,10,,2,
Dashboarding-focused products,Recommendation,7,Pyramid Analytics,Customer satisfaction,6.815537824,7.286282306,7,,2,
Dashboarding-focused products,Recommendation,7,QlikView,Customer satisfaction,6.815537824,7.146653974,9,,2,
Dashboarding-focused products,Recommendation,7,SAP BO Design St.,Customer satisfaction,6.815537824,3.894135189,19,,2,
Dashboarding-focused products,Recommendation,7,Sisense,Customer satisfaction,6.815537824,6.419116878,13,,2,
Dashboarding-focused products,Recommendation,7,Tableau,Customer satisfaction,6.815537824,6.36361829,14,,2,
Dashboarding-focused products,Recommendation,7,TARGIT,Customer satisfaction,6.815537824,7.660740105,5,,2,
Dashboarding-focused products,Recommendation,7,TIBCO Spotfire,Customer satisfaction,6.815537824,5.821736249,16,,2,
Dashboarding-focused products,Recommendation,7,Zoho Reports,Customer satisfaction,6.815537824,7.211390746,8,,2,
Dashboarding-focused products,Vendor support,8,BOARD,Customer satisfaction,7.437041969,7.344789821,11,,2,
Dashboarding-focused products,Vendor support,8,Chartio,Customer satisfaction,7.437041969,7.589914933,9,,2,
Dashboarding-focused products,Vendor support,8,Cubeware,Customer satisfaction,7.437041969,6.040091646,17,,2,
Dashboarding-focused products,Vendor support,8,CXO-Cockpit,Customer satisfaction,7.437041969,9.163399644,2,,2,
Dashboarding-focused products,Vendor support,8,DigDash,Customer satisfaction,7.437041969,7.510873537,10,,2,
Dashboarding-focused products,Vendor support,8,Dimensional Insight,Customer satisfaction,7.437041969,9.287382309,1,,2,
Dashboarding-focused products,Vendor support,8,Domo,Customer satisfaction,7.437041969,7.928212106,7,,2,
Dashboarding-focused products,Vendor support,8,Dundas,Customer satisfaction,7.437041969,7.925231116,8,,2,
Dashboarding-focused products,Vendor support,8,Entrinsik,Customer satisfaction,7.437041969,8.061223521,6,,2,
Dashboarding-focused products,Vendor support,8,Longview Analytics,Customer satisfaction,7.437041969,6.420892692,15,,2,
Dashboarding-focused products,Vendor support,8,MS Power BI,Customer satisfaction,7.437041969,6.177708665,16,,2,
Dashboarding-focused products,Vendor support,8,Pyramid Analytics,Customer satisfaction,7.437041969,8.919391206,3,,2,
Dashboarding-focused products,Vendor support,8,QlikView,Customer satisfaction,7.437041969,6.93524534,13,,2,
Dashboarding-focused products,Vendor support,8,SAP BO Design St.,Customer satisfaction,7.437041969,4.677471981,19,,2,
Dashboarding-focused products,Vendor support,8,Sisense,Customer satisfaction,7.437041969,8.796727505,4,,2,
Dashboarding-focused products,Vendor support,8,Tableau,Customer satisfaction,7.437041969,6.758173619,14,,2,
Dashboarding-focused products,Vendor support,8,TARGIT,Customer satisfaction,7.437041969,8.743478147,5,,2,
Dashboarding-focused products,Vendor support,8,TIBCO Spotfire,Customer satisfaction,7.437041969,5.833172492,18,,2,
Dashboarding-focused products,Vendor support,8,Zoho Reports,Customer satisfaction,7.437041969,7.190417136,12,,2,
Dashboarding-focused products,Implementer support,9,BOARD,Customer satisfaction,6.973816811,7.768465174,6,,2,
Dashboarding-focused products,Implementer support,9,Chartio,Customer satisfaction,6.973816811,7.156763196,8,,2,
Dashboarding-focused products,Implementer support,9,Cubeware,Customer satisfaction,6.973816811,6.399732453,14,,2,
Dashboarding-focused products,Implementer support,9,CXO-Cockpit,Customer satisfaction,6.973816811,9.50285726,1,,2,
Dashboarding-focused products,Implementer support,9,DigDash,Customer satisfaction,6.973816811,4.823840185,18,,2,
Dashboarding-focused products,Implementer support,9,Dimensional Insight,Customer satisfaction,6.973816811,9.118701507,2,,2,
Dashboarding-focused products,Implementer support,9,Domo,Customer satisfaction,6.973816811,6.621689111,11,,2,1
Dashboarding-focused products,Implementer support,9,Dundas,Customer satisfaction,6.973816811,8.286364042,3,,2,
Dashboarding-focused products,Implementer support,9,Entrinsik,Customer satisfaction,6.973816811,6.444596033,13,,2,
Dashboarding-focused products,Implementer support,9,Longview Analytics,Customer satisfaction,6.973816811,7.662110943,7,,2,
Dashboarding-focused products,Implementer support,9,MS Power BI,Customer satisfaction,6.973816811,7.156763196,8,,2,1
Dashboarding-focused products,Implementer support,9,Pyramid Analytics,Customer satisfaction,6.973816811,8.090519932,5,,2,
Dashboarding-focused products,Implementer support,9,QlikView,Customer satisfaction,6.973816811,6.296681148,15,,2,
Dashboarding-focused products,Implementer support,9,SAP BO Design St.,Customer satisfaction,6.973816811,6.806652992,10,,2,
